actor;배우
black;검은색
clay;점토
disease;질병
adjective;형용사
blind;눈이 먼
clean;깨끗한
doctor;의사
adult;성인
blood;피
clean;깨끗한
dog;개
afternoon;오후
blue;파란색
clock;시계
dollar;달러
air;공기
boat;보트
close;닫다
door;문
airport;공항
body;몸
clothing;의류
dot;점
alive;살아 있는
bone;뼈
club;클럽
down;아래에
animal;동물
book;책
coat;코트
draw;그리다
apartment;아파트
bottle;병
coffee;커피
dream;꿈
apple;사과
bottom;맨 아래
cold;추운
dress;드레스
April;4월
box;상자
color;색상
drink;마시다
arm;팔
boy;소년
computer;컴퓨터
drive;운전하다
army;군대
brain;뇌
consonant;자음
drug;의약품
art;미술
bread;빵
contract;계약
dry;마른
artist;아티스트
break;부서지다
cook;요리하다
dust;먼지
attack;공격
breakfast;아침
cool;시원한
ear;귀
August;팔월
bridge;다리
copper;구리
Earth;지구
author;작가
brother;형제
corn;옥수수
east;동쪽
baby;아기
brown;갈색
corner;모서리
eat;먹다
back;뒤쪽에
build;짓다
count;세다
edge;가장자리
back;뒤쪽에
building;건물
country;국가
egg;계란
bad;나쁜
burn;불타다
court;법원
eight;여덟
bag;가방
bus;버스
cow;암소
eighteen;십팔
ball;공
buy;구입하다
crowd;군중
eighty;여든
banana;바나나
cake;케이크
cry;울다
election;선거
band;밴드
call;부르다
cup;컵
electronics;전자 장치
bank;은행
camera;카메라
curved;구부러진
eleven;열하나
bar;술집
camp;캠프
cut;자르다
energy;에너지
bathroom;화장실
car;자동차
dance;춤
engine;엔진
beach;해변
card;카드
dark;어두운
evening;저녁
beard;수염
carry;나르다
date;날짜
exercise;운동
beat;이기다
cat;고양이
daughter;딸
expensive;값비싼
beautiful;아름다운
catch;잡다
day;낮
explode;터지다
bed;침대
ceiling;천장
dead;죽은
eye;눈
bedroom;침실
cell;셀
phone;핸드폰
deaf;청각 장애인
face;얼굴
beef;소고기
centimeter;센티미터
death;죽음
autumn;가을
beer;맥주
chair;의자
December;12월
fall;떨어지다
bend;만곡부
cheap;값이 싼
deep;깊은
family;가족
beverage;음료
cheese;치즈
diamond;다이아몬드
famous;유명한
bicycle;자전거
chicken;닭
die;주사위
big/large;큰/큰
child;어린이
dig;파기
fan;팬
bill;청구서
church;교회
dinner;저녁
farm;농장
billion;10억
circle;원
direction;방향
fast;빠른
bird;새
city;도시
dirty;더러운
father;아버지
February;2월
hair;머리카락
kitchen;주방
million;백만
feed;밥을 먹이다
half;반
knee;무릎
minute;분
female;여성
hand;손
knife;칼
mix/stir;혼합/저어
fifteen;열 다섯
hang;걸다
lake;호수
Monday;월요일
fifth;제오
happy;행복하다
lamp;램프
money;돈
fifty;오십
hard;딱딱한
laptop;랩탑
month;월
fight;싸움
hat;모자
laugh;웃다
moon;달
find;찾다
he;그
lawyer;변호사
morning;아침
finger;손가락
head;머리
leaf;잎
mother;어머니
fire;불
healthy;건강한
learn;배우다
mountain;산
first;첫 번째
hear;듣다
left;왼쪽
mouse;생쥐
fish;물고기
heart;마음
leg;다리
mouth;입
five;다섯
heat;열
lemon;레몬
movie;영화
flat;평평한
heaven;천국
letter;편지
murder;살인
floor;바닥
heavy;무거운
library;도서관
music;음악
flower;꽃
hell;지옥
lie;거짓말하다
down;아래에
narrow;좁은
fly;파리
high;높은
lift;승강기
nature;자연
follow;따르다
hill;언덕
light;빛
neck;목
food;음식
hole;구멍
needle;바늘
foot;발
horse;말
light;빛
neighbor;이웃
hospital;병원
lip;말뿐인
network;회로망
forest;숲
hot;더운
listen;듣다
new;새로운
fork;포크
hotel;호텔
location;위치
newspaper;신문
forty;사십
hour;시간
lock;잠그다
nice;멋진
four;네
house;집
long;긴
night;밤
fourteen;십사
human;인간
loose;헐렁한
nine;아홉
fourth;네번째
hundred;백
lose;잃다
nineteen;십구
Friday;금요일
husband;남편
loud;시끄러운
ninety;구십
friend;친구
I;나
love;사랑
no;아니요
front;앞쪽
ice;얼음
low;낮은
north;북쪽
game;게임
image;영상
lunch;점심
nose;코
garden;정원
inch;인치
magazine;잡지
note;메모
gasoline;가솔린
injury;부상
male;남성
November;십일월
gift;선물
inside;내부에
man;남성
nuclear;핵무기
girl;소녀
instrument;기구
manager;관리자
number;숫자
glass;유리
island;섬
map;지도
ocean;대양
go;가다
it;그것
March;3월
October;십월
God;하나님
January;1월
market;시장
office;사무실
gold;금
job;직업
marriage;결혼
oil;기름
good;좋은
juice;주스
marry;결혼하다
old;오래된
grandfather;할아버지
July;칠월
material;재료
grandmother;할머니
jump;도약
May;5월
one;하나
grass;잔디
June;6월
mean;평균
open;열려 있는
gray;회색
key;열쇠
medicine;약
green;녹색
kill;죽이다
melt;녹다
ground;지면
kilogram;킬로그램
metal;금속
outside;밖의
grow;자라다
king;왕
meter;미터
page;페이지
gun;총
kiss;키스
milk;우유
pain;통증
paint;페인트
rice;쌀
six;육
tea;차
pants;바지
rich;부자
sixteen;열 여섯 살
teach;가르치다
paper;종이
right;오른쪽
sixty;육십
teacher;선생님
parent;조상
ring;반지
skin;피부
team;팀
park;공원
river;강
skirt;치마
tear;눈물
pass;통과하다
roof;지붕
sky;하늘
technology;기술
patient;인내심 있는
room;방
sleep;잠
telephone;전화
pattern;무늬
root;뿌리
slow;느린
television;텔레비전
pay;지불하다
run;달리다
small/little;작/작은
temperature;온도
peace;평화
sad;슬픈
smell;냄새가 나다
ten;열
pen;펜
salt;소금
smile;웃다
theater;극장
pencil;연필
sand;모래
snow;눈
they;그들
person;사람
Saturday;토요일
soap;비누
thick;두꺼운
photograph;사진
school;학교
soft;부드러운
thin;얇은
piece;조각
science;과학
soil/earth;토양/지구
think;생각하다
pig;돼지
screen;화면
soldier;군인
third;제삼
pink;분홍색
sea;바다
son;아들
thirteen;열셋
plane;비행기
season;계절
song;노래
thirty;삼십
plant;식물
second;두번째
sound;소리
thousand;천
plastic;플라스틱
soup;국
three;삼
plate;그릇
secretary;비서
south;남쪽
throw;던지다
play;놀다
see;보다
space;공간
Thursday;목요일
player;플레이어
seed;씨앗
speak/say;말/말
ticket;표
pocket;포켓
sell;팔다
spoon;숟가락
tight;단단한
poison;독
September;구월
sport;스포츠
time;시간
police;경찰
seven;일곱
spring;봄
tire;타이어
pool;수영장
seventeen;열일곱
square;정사각형
toe;발가락
poor;가난한
seventy;칠십
stain;얼룩
tongue;혀
pork;돼지고기
sex;섹스
stand;서다
tool;도구
pound;파운드
sex;섹스
star;별
tooth;이빨
pray;기도하다
shake;떨림
stone;결석
top;맨 위
president;대통령
shallow;얕은
stop;멈추다
touch;만지다
price;가격
she;그녀
store/shop;상점/상점
town;도시
priest;성직자
ship;배
straight;똑바로
train;기차
prison;감옥
shirt;셔츠
street/road;거리/도로
train;기차
station;역
computer program;컴퓨터 프로그램
shoes;신발
strong;강한
transportation;운송
pull;당기다
shoot;사격
student;학생
tree;나무
push;푸시
short;짧은
sugar;설탕
truck;트럭
queen;여왕
short;짧은
suit;정장
Tuesday;화요일
quiet;조용한
shoulder;어깨
summer;여름
turn;회전하다
sick;아픈
sun;해
twelve;열둘
race;경주
side;옆
Sunday;일요일
twenty;이십
radio;라디오
sign;징후
sweat;땀
rain;비
sign;징후
swim;헤엄
two;둘
red;빨간색
silver;은
T-shirt;티셔츠
ugly;못생긴
religion;종교
sing;노래하다
table;테이블
university;대학교
reporter;보고자
sister;자매
tall;키가 큰
up;위로
restaurant;식당
sit;앉다
taste;맛
valley;골짜기
verb;동사
watch;보다
wet;젖은
wood;목재
victim;피해자
water;물
white;하얀색
work;일하다
voice;목소리
wave;파도
wide;넓은
world;세계
vowel;모음
we;우리
wife;부인
write;쓰다
waiter;웨이터
weak;약한
win;이기다
yard;마당
wake;깨어 있다
up;위로
wear;입다
wind;바람
year;년도
walk;걷다
wedding;혼례
window;창문
yellow;노란색
wall;벽
Wednesday;수요일
wine;와인
yes;예
war;전쟁
week;주
wing;비행
you;너
warm;따뜻한
weight;무게
winter;겨울
young;어린
wash;씻다
west;서쪽
woman;여성
zero;영
